Famous people,Fictional characters,Films,Objects,Books,"Games, sports and pastimes",TV Programmes,Geography,Animals,Food and Drink,Fictional Places
Rowan Atkinson,,Indiana Jones and the Kingdom of the Crystal Skull,,,,,Quito,Shoal,,
Rudolf Hess,,Music & Lyrics,,,,,Rabat,Short Eared Bat,,
Rudolf Nureyev,,Nine Months,,,,,Rangoon,Short Eared Owl,,
Rudolf Valentino,,The Merchant of Venice,,,,,Rathlin Island,Shrew,,
Rudyard Kipling,,Vantage Point,,,,,Reading,Shrewdness,,
Rupert Murdoch,,National Treasure,,,,,Red Sea ,Sidewinder,,
Russell Brand,,The Kite Runner,,,,,Regents Park,Siege,,
Russell Howard,,Sweeney Todd- The Demon Barber of Fleet Street,,,,,Reykjavik,silverback,,
Ruth Ellis,,Juno,,,,,Rhode Island,Skate,,
Ruud Gullit,,The Bourne Ultimatum,,,,,Riga,Skein,,
Ryan Giggs,,The Bourne Supremacy,,,,,Rio de Janero,Skulk,,
Saddam Hussein,,Garden State,,,,,Ripon ,Skunk,,
Salman Rushdie,,Jumper,,,,,River Nile,Sleuth,,
Salvador Dali,,Gregory's Girl,,,,,Riyadh,Sloth,,
Samantha Fox,,Harry Potter and the Goblet Of Fire,,,,,Rockall,Slow Worm,,
Samuel Pepys,,Harry Potter and the Order of the Phoenix,,,,,Romania,Slug,,
Sarah Brightman,,Avatar,,,,,Rome,Smack,,
Sarah Ferguson,,Sherlock Holmes,,,,,Roseau,Small Tortoiseshell,,
Scarlett Johansson,,Inception,,,,,Royal Albert Hall,Small White,,
